width	depth	height	tilt	instances
60	45	90	TRUE	3
60	55	90	TRUE	3
75	90	90	TRUE	3
42	50	90	TRUE	3
45	65	90	TRUE	3
60	45	90	TRUE	3
60	45	90	TRUE	3
90	60	90	TRUE	3
200	90	90	TRUE	2
150	90	90	TRUE	2
200	90	90	TRUE	2
125	90	90	TRUE	2
200	90	90	TRUE	2
125	90	225	TRUE	2
125	90	225	TRUE	2
200	90	90	TRUE	2
155	90	225	TRUE	1
210	90	225	TRUE	1
200	90	90	TRUE	1
125	90	225	TRUE	1
150	90	90	TRUE	2
150	90	90	TRUE	2
105	90	90	TRUE	3
125	90	90	TRUE	3
125	90	90	TRUE	3
155	90	90	TRUE	3
185	90	90	TRUE	3
125	90	90	TRUE	4
150	90	90	TRUE	2
105	90	90	TRUE	2
130	90	90	TRUE	2
185	90	90	TRUE	2
180	90	90	TRUE	2
105	90	90	TRUE	3
125	90	90	TRUE	3
130	90	90	TRUE	3
130	225	95	TRUE	1
150	90	90	TRUE	3
105	90	90	TRUE	3
205	90	90	TRUE	2
150	90	90	TRUE	2
130	95	225	TRUE	1
205	90	90	TRUE	2
90	100	255	TRUE	2
130	95	225	TRUE	2
200	90	90	TRUE	2
205	90	90	TRUE	1
125	90	225	TRUE	1
255	100	90	TRUE	1
130	225	95	TRUE	1
130	95	225	TRUE	1
42	50	90	TRUE	2
42	50	90	TRUE	3
65	45	90	TRUE	3
60	45	90	TRUE	3
60	45	90	TRUE	2
42	50	90	TRUE	2
60	55	90	TRUE	2
42	50	90	TRUE	3
40	50	90	TRUE	3
60	45	90	TRUE	3
60	45	90	TRUE	4
65	55	90	TRUE	3
60	55	90	TRUE	4
75	90	90	TRUE	3
60	65	90	TRUE	3
90	125	90	TRUE	2
105	90	90	TRUE	2
125	90	90	TRUE	2
60	65	90	TRUE	3
90	60	90	TRUE	4
75	90	90	TRUE	4
75	90	90	TRUE	4
105	90	90	TRUE	4
125	90	90	TRUE	3
75	90	90	TRUE	4
105	90	90	TRUE	4
125	90	90	TRUE	2
75	90	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
60	45	90	TRUE	2
60	45	90	TRUE	2
60	55	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
46	40	90	TRUE	2
60	45	90	TRUE	2
60	45	90	TRUE	2
60	45	90	TRUE	2
60	55	90	TRUE	2
60	55	90	TRUE	2
90	60	90	TRUE	2
90	60	90	TRUE	2
75	90	90	TRUE	2
60	65	90	TRUE	2
90	60	90	TRUE	2
90	75	90	TRUE	2
75	90	90	TRUE	2
105	90	90	TRUE	2
105	90	90	TRUE	2
105	90	90	TRUE	2
125	90	90	TRUE	2
125	90	90	TRUE	2
125	90	90	TRUE	2
180	90	90	TRUE	2
200	90	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
60	45	90	TRUE	2
60	45	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
60	45	90	TRUE	2
60	55	90	TRUE	2
60	65	90	TRUE	2
60	65	90	TRUE	2
90	75	90	TRUE	2
125	90	90	TRUE	2
60	45	90	TRUE	2
60	55	90	TRUE	2
90	60	65	TRUE	2
90	60	90	TRUE	2
90	60	90	TRUE	2
75	90	90	TRUE	2
105	90	90	TRUE	2
105	90	90	TRUE	2
60	45	90	TRUE	2
60	55	90	TRUE	2
90	90	100	TRUE	2
90	90	100	TRUE	2
200	90	90	TRUE	2
155	90	225	TRUE	1
105	90	90	TRUE	2
130	90	90	TRUE	2
125	90	225	TRUE	2
125	90	225	TRUE	2
125	90	225	TRUE	2
125	90	225	TRUE	2
250	90	90	TRUE	2
250	90	90	TRUE	2
250	90	90	TRUE	2
125	90	225	TRUE	2
125	90	225	TRUE	2
155	90	225	TRUE	2
40	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
45	65	90	TRUE	2
60	45	90	TRUE	2
60	45	90	TRUE	2
60	45	90	TRUE	2
60	55	90	TRUE	2
90	60	90	TRUE	2
90	60	90	TRUE	2
75	90	90	TRUE	2
60	45	90	TRUE	2
65	55	90	TRUE	2
60	55	90	TRUE	2
60	65	90	TRUE	2
75	90	90	TRUE	2
60	45	90	TRUE	2
40	50	90	TRUE	2
60	45	90	TRUE	2
60	45	90	TRUE	2
65	65	90	TRUE	2
75	90	90	TRUE	2
105	90	90	TRUE	2
55	65	90	TRUE	3
60	65	90	TRUE	2
90	60	90	TRUE	2
75	90	90	TRUE	2
105	90	90	TRUE	2
105	90	90	TRUE	2
130	90	90	TRUE	2
125	90	90	TRUE	2
125	90	90	TRUE	3
185	90	90	TRUE	2
150	100	75	TRUE	2
105	90	90	TRUE	2
125	90	90	TRUE	2
60	45	90	TRUE	3
65	55	90	TRUE	3
60	55	90	TRUE	3
60	65	90	TRUE	3
90	80	90	TRUE	2
90	60	90	TRUE	3
90	60	90	TRUE	3
80	90	90	TRUE	3
75	90	90	TRUE	3
105	90	90	TRUE	3
130	90	90	TRUE	3
150	90	90	TRUE	3
42	50	90	TRUE	3
60	65	90	TRUE	1
42	50	90	TRUE	3
40	50	90	TRUE	5
60	65	90	TRUE	1
42	50	90	TRUE	3
40	50	90	TRUE	3
42	50	90	TRUE	3
90	60	90	TRUE	1
42	50	90	TRUE	3
40	50	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	2
42	50	90	TRUE	1
42	50	90	TRUE	3
40	50	90	TRUE	3
42	50	90	TRUE	3
60	45	90	TRUE	3
60	45	90	TRUE	3
65	55	90	TRUE	3
90	60	90	TRUE	3
105	90	90	TRUE	3
40	50	90	TRUE	3
46	40	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	3
40	50	90	TRUE	3
42	50	90	TRUE	3
90	55	60	TRUE	2
40	50	90	TRUE	3
42	50	90	TRUE	3
60	45	90	TRUE	3
42	50	90	TRUE	2
60	55	90	TRUE	3
55	65	90	TRUE	3
75	90	90	TRUE	2
125	90	225	TRUE	2
225	130	90	TRUE	3
225	130	90	TRUE	3
155	90	225	TRUE	3
60	65	90	TRUE	3
80	90	90	TRUE	3
75	90	90	TRUE	3
105	90	90	TRUE	3
80	90	90	TRUE	3
75	90	90	TRUE	3
75	90	90	TRUE	3
105	90	90	TRUE	3
125	90	90	TRUE	3
150	90	90	TRUE	3
100	90	90	TRUE	2
150	90	90	TRUE	2
75	90	90	TRUE	2
105	90	90	TRUE	2
125	90	90	TRUE	2
75	90	90	TRUE	3
150	90	90	TRUE	3
125	90	90	TRUE	3
150	90	90	TRUE	2
105	90	90	TRUE	2
150	90	90	TRUE	2
105	90	90	TRUE	2
155	90	90	TRUE	2
125	90	90	TRUE	2
150	90	90	TRUE	3
